﻿year,quarter,region,area,level_of_edu,value,unit,source
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,รวม,รวม,66.97,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,รวม,"01. ไม่มีการศึกษา",50.11,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,รวม,"02. ต่ำกว่าประถมศึกษา",44.43,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,รวม,"03. ประถมศึกษา",73.94,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,รวม,"04. มัธยมศึกษาตอนต้น",64.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,รวม,"05. มัธยมศึกษาตอนปลาย สายสามัญ",71.28,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,รวม,"06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา",69.79,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,รวม,"07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา",73.33,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,รวม,"08. อุดมศึกษา สายวิชาการ",82.01,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,รวม,"09. อุดมศึกษา สายวิชาชีพ",82.74,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,รวม,"10. อุดมศึกษา สายวิชาการศึกษา",66.09,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,รวม,"11. อื่น ๆ",92.45,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,รวม,"12. ไม่ทราบ",84.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,"1) ในเขตเทศบาล",รวม,68.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,"1) ในเขตเทศบาล","01. ไม่มีการศึกษา",56.62,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,"1) ในเขตเทศบาล","02. ต่ำกว่าประถมศึกษา",43.11,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,"1) ในเขตเทศบาล","03. ประถมศึกษา",73.93,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,"1) ในเขตเทศบาล","04. มัธยมศึกษาตอนต้น",65.50,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,"1) ในเขตเทศบาล","05. มัธยมศึกษาตอนปลาย สายสามัญ",67.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,"1) ในเขตเทศบาล","06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา",69.13,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,"1) ในเขตเทศบาล","07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา",78.64,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,"1) ในเขตเทศบาล","08. อุดมศึกษา สายวิชาการ",81.28,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,"1) ในเขตเทศบาล","09. อุดมศึกษา สายวิชาชีพ",81.33,ร้อยละ,สำนักงานสถิติแห่งชาติ
