_id,year,region,province,area,sex,age_group,value,unit,source
1,2533,ทั่วประเทศ,รวม,รวม,รวม,รวม,54548530,คน,สำนักงานสถิติแห่งชาติ
2,2533,ทั่วประเทศ,รวม,รวม,ชาย,รวม,27061733,คน,สำนักงานสถิติแห่งชาติ
3,2533,ทั่วประเทศ,รวม,รวม,หญิง,รวม,27486797,คน,สำนักงานสถิติแห่งชาติ
4,2533,ทั่วประเทศ,รวม,ในเขตเทศบาล,รวม,รวม,10215098,คน,สำนักงานสถิติแห่งชาติ
5,2533,ทั่วประเทศ,รวม,ในเขตเทศบาล,ชาย,รวม,4933482,คน,สำนักงานสถิติแห่งชาติ
6,2533,ทั่วประเทศ,รวม,ในเขตเทศบาล,หญิง,รวม,5281616,คน,สำนักงานสถิติแห่งชาติ
7,2533,ทั่วประเทศ,รวม,นอกเขตเทศบาล,รวม,รวม,44333432,คน,สำนักงานสถิติแห่งชาติ
8,2533,ทั่วประเทศ,รวม,นอกเขตเทศบาล,ชาย,รวม,22128251,คน,สำนักงานสถิติแห่งชาติ
9,2533,ทั่วประเทศ,รวม,นอกเขตเทศบาล,หญิง,รวม,22205181,คน,สำนักงานสถิติแห่งชาติ
10,2543,ทั่วประเทศ,รวม,รวม,รวม,รวม,60916441,คน,สำนักงานสถิติแห่งชาติ
11,2543,ทั่วประเทศ,รวม,รวม,ชาย,รวม,30015233,คน,สำนักงานสถิติแห่งชาติ
12,2543,ทั่วประเทศ,รวม,รวม,หญิง,รวม,30901208,คน,สำนักงานสถิติแห่งชาติ
13,2543,ทั่วประเทศ,รวม,ในเขตเทศบาล,รวม,รวม,18972330,คน,สำนักงานสถิติแห่งชาติ
14,2543,ทั่วประเทศ,รวม,ในเขตเทศบาล,ชาย,รวม,9129755,คน,สำนักงานสถิติแห่งชาติ
15,2543,ทั่วประเทศ,รวม,ในเขตเทศบาล,หญิง,รวม,9842575,คน,สำนักงานสถิติแห่งชาติ
