Province,Police station,Days of a week,road/bridge,Surface,Location,Location details,Condition,Quality,Traffic lines,Traffic light,Light Condition,Latitude,Longitude
ปทุมธานี,สภ.ปากคลองรังสิต,อังคาร,ทล.3508,แอสฟัลท์/ลาดยาง,ทางหลัก,ทางโค้ง,แห้ง,เรียบ (Smooth),มีและชัดเจน,ไม่มี,กลางคืนมีไฟถนน,13.9645246,100.6051367
ปทุมธานี,สภ.ปากคลองรังสิต,เสาร์,ทล.3508,แอสฟัลท์/ลาดยาง,ทางหลัก,ทางตรง,แห้ง,เรียบ (Smooth),มีและชัดเจน,ไม่มี,กลางคืนมีไฟถนน,13.9701244,100.6044631
ปทุมธานี,สภ.ปากคลองรังสิต,ศุกร์,ทล.3508,แอสฟัลท์/ลาดยาง,ทางหลัก,ทางตรง,แห้ง,เรียบ (Smooth),มีและชัดเจน,ไม่มี,กลางคืนมีไฟถนน,13.9721533,100.6042067
ปทุมธานี,สภ.ปากคลองรังสิต,จันทร์,ทล.3508,แอสฟัลท์/ลาดยาง,ทางหลัก,ทางตรง,แห้ง,เรียบ (Smooth),มีและชัดเจน,ไม่มี,กลางคืนไม่มีไฟถนน (มีเสาไฟแต่ใช้การไม่ได้),13.9786797,100.6033888
ปทุมธานี,สภ.สวนพริกไทย,อังคาร,อย.5042,คอนกรีต,ทางหลัก,ทางตรง,แห้ง,เรียบ (Smooth),มีและชัดเจน,ไม่มี,มืด,14.0123157,100.5958364
ปทุมธานี,สภ.ปากคลองรังสิต,อังคาร,ทล.346,แอสฟัลท์/ลาดยาง,ทางหลัก,ทางขึ้นสะพาน,แห้ง,หลุมบ่อ (Pothole),มีแต่ไม่ชัดเจน,ไม่มี,กลางคืนมีไฟถนน (ไม่เพียงพอ),13.984777,100.5952042
ปทุมธานี,สภ.ปากคลองรังสิต,พุธ,ทล.346,แอสฟัลท์/ลาดยาง,ทางหลัก,ทางตรง,แห้ง,เรียบ (Smooth),มีและชัดเจน,ไม่มี,กลางคืนมีไฟถนน,13.9849431,100.5945425
ปทุมธานี,สภ.ปากคลองรังสิต,เสาร์,ทล.346,แอสฟัลท์/ลาดยาง,ทางหลัก,ทางตรง/ ทางเข้า-ออกจากทางขนาน/ จุดกลับรถ/ ทางเข้า-ออกจากซอย,แห้ง,เรียบ (Smooth),มีและชัดเจน,ไม่มี,แสงแดด,13.9846141,100.5924075
ปทุมธานี,สภ.สามโคก,จันทร์,อย.5042,คอนกรีต,ทางหลัก,ทางตรง,แห้ง,ไม่สม่ำเสมอ (Uneven) (ซ่อมทางด้วยยางมะตอยจนเป็นเนินเล็กๆ),มีและชัดเจน,ไม่มี,กลางคืนมีไฟถนน,14.0498477,100.5907108
ปทุมธานี,สภ.สามโคก,อาทิตย์,ทล.3214,คอนกรีต,ทางหลัก,ทางตรง,แห้ง,เรียบ (Smooth),มีและชัดเจน,ไม่มี,กลางคืนมีไฟถนน,14.0658658,100.5899667
ปทุมธานี,สภ.ปากคลองรังสิต,เสาร์,ทล.345,แอสฟัลท์/ลาดยาง,ทางหลัก,ทางตรง,แห้ง,เรียบ (Smooth),มีและชัดเจน,ไม่มี,กลางคืนมีไฟถนน (ไม่เพียงพอ),13.9778283,100.5898596
